지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
광주 동구,324115,서석동,2016010101,0.004,1.2,0.001,0.044,55,31,광주 동구 서남로 1
광주 동구,324115,서석동,2016010102,0.004,1.1,0.001,0.04,51,29,광주 동구 서남로 1
광주 동구,324115,서석동,2016010103,0.004,1.1,0.001,0.039,49,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010104,0.004,1.1,0.001,0.036,50,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010105,0.003,1.1,0.001,0.036,46,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010106,0.003,1.3,0.001,0.037,47,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010107,0.003,1.3,0.001,0.037,51,32,광주 동구 서남로 1
광주 동구,324115,서석동,2016010108,0.003,1.2,0.001,0.037,55,36,광주 동구 서남로 1
광주 동구,324115,서석동,2016010109,0.003,1.3,0.001,0.037,50,32,광주 동구 서남로 1
광주 동구,324115,서석동,2016010110,0.004,1.4,0.003,0.04,56,39,광주 동구 서남로 1
광주 동구,324115,서석동,2016010111,0.004,1.2,0.006,0.04,63,44,광주 동구 서남로 1
광주 동구,324115,서석동,2016010112,0.004,1.3,0.005,0.043,64,47,광주 동구 서남로 1
광주 동구,324115,서석동,2016010113,0.004,1,0.017,0.03,66,50,광주 동구 서남로 1
광주 동구,324115,서석동,2016010114,0.003,0.6,0.032,0.013,40,34,광주 동구 서남로 1
광주 동구,324115,서석동,2016010115,0.003,0.6,0.031,0.017,28,16,광주 동구 서남로 1
광주 동구,324115,서석동,2016010116,0.003,0.6,0.033,0.013,34,22,광주 동구 서남로 1
광주 동구,324115,서석동,2016010117,0.003,0.6,0.03,0.016,37,25,광주 동구 서남로 1
광주 동구,324115,서석동,2016010118,0.003,0.6,0.023,0.025,39,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010119,0.003,0.7,0.01,0.037,40,26,광주 동구 서남로 1
광주 동구,324115,서석동,2016010120,0.003,0.8,0.005,0.04,42,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010121,0.003,0.9,0.002,0.045,42,27,광주 동구 서남로 1
광주 동구,324115,서석동,2016010122,0.003,0.9,0.003,0.044,43,27,광주 동구 서남로 1
광주 동구,324115,서석동,2016010123,0.003,0.7,0.013,0.033,41,26,광주 동구 서남로 1
광주 동구,324115,서석동,2016010124,0.003,0.6,0.019,0.027,35,22,광주 동구 서남로 1
광주 동구,324115,서석동,2016010201,0.003,0.6,0.022,0.022,27,18,광주 동구 서남로 1
광주 동구,324115,서석동,2016010202,0.002,0.6,0.022,0.018,24,14,광주 동구 서남로 1
광주 동구,324115,서석동,2016010203,0.002,0.7,0.018,0.02,27,15,광주 동구 서남로 1
광주 동구,324115,서석동,2016010204,0.002,0.7,0.014,0.023,26,15,광주 동구 서남로 1
광주 동구,324115,서석동,2016010205,0.003,0.8,0.008,0.028,29,16,광주 동구 서남로 1
광주 동구,324115,서석동,2016010206,0.003,1,0.001,0.034,29,20,광주 동구 서남로 1
광주 동구,324115,서석동,2016010207,0.003,1,0.001,0.035,29,16,광주 동구 서남로 1
광주 동구,324115,서석동,2016010208,0.003,1.1,0.001,0.039,35,22,광주 동구 서남로 1
광주 동구,324115,서석동,2016010209,0.003,1.1,0.002,0.037,42,27,광주 동구 서남로 1
광주 동구,324115,서석동,2016010210,0.004,1.3,0.003,0.043,43,27,광주 동구 서남로 1
광주 동구,324115,서석동,2016010211,0.003,1.1,0.006,0.044,55,36,광주 동구 서남로 1
광주 동구,324115,서석동,2016010212,0.004,1.2,0.006,0.046,53,40,광주 동구 서남로 1
광주 동구,324115,서석동,2016010213,0.005,1.4,0.005,0.057,55,41,광주 동구 서남로 1
광주 동구,324115,서석동,2016010214,0.005,1.5,0.004,0.061,66,44,광주 동구 서남로 1
광주 동구,324115,서석동,2016010215,0.004,1.1,0.01,0.05,70,48,광주 동구 서남로 1
광주 동구,324115,서석동,2016010216,0.003,0.8,0.024,0.029,60,46,광주 동구 서남로 1
광주 동구,324115,서석동,2016010217,0.003,0.7,0.021,0.032,42,28,광주 동구 서남로 1
광주 동구,324115,서석동,2016010218,0.003,1.1,0.003,0.055,41,21,광주 동구 서남로 1
광주 동구,324115,서석동,2016010219,0.003,1.3,0.002,0.055,52,25,광주 동구 서남로 1
광주 동구,324115,서석동,2016010220,0.003,1,0.003,0.047,55,25,광주 동구 서남로 1
광주 동구,324115,서석동,2016010221,0.003,0.9,0.005,0.04,39,18,광주 동구 서남로 1
광주 동구,324115,서석동,2016010222,0.003,1.1,0.002,0.043,36,17,광주 동구 서남로 1
광주 동구,324115,서석동,2016010223,0.003,1.3,0.001,0.047,37,17,광주 동구 서남로 1
광주 동구,324115,서석동,2016010224,0.003,1.5,0.001,0.047,41,20,광주 동구 서남로 1
광주 동구,324115,서석동,2016010301,0.003,1.1,0.001,0.038,45,23,광주 동구 서남로 1
광주 동구,324115,서석동,2016010302,0.003,1.1,0.001,0.035,31,16,광주 동구 서남로 1
광주 동구,324115,서석동,2016010303,0.003,1.3,0.001,0.033,32,18,광주 동구 서남로 1
광주 동구,324115,서석동,2016010304,0.003,1.3,0.001,0.03,32,17,광주 동구 서남로 1
광주 동구,324115,서석동,2016010305,0.003,1.3,0.001,0.028,31,19,광주 동구 서남로 1
광주 동구,324115,서석동,2016010306,0.003,1.7,0.001,0.031,33,20,광주 동구 서남로 1
광주 동구,324115,서석동,2016010307,0.003,1.8,0.001,0.032,40,24,광주 동구 서남로 1
광주 동구,324115,서석동,2016010308,0.003,1.7,0.001,0.032,42,27,광주 동구 서남로 1
광주 동구,324115,서석동,2016010309,0.004,1.9,0.001,0.04,40,26,광주 동구 서남로 1
광주 동구,324115,서석동,2016010310,0.005,2.1,0.002,0.043,58,35,광주 동구 서남로 1
광주 동구,324115,서석동,2016010311,0.005,1.9,0.003,0.045,71,53,광주 동구 서남로 1
광주 동구,324115,서석동,2016010312,0.005,1.6,0.004,0.054,59,51,광주 동구 서남로 1
광주 동구,324115,서석동,2016010313,0.003,1.1,0.008,0.042,71,48,광주 동구 서남로 1
광주 동구,324115,서석동,2016010314,0.003,1.1,0.014,0.037,59,44,광주 동구 서남로 1
광주 동구,324115,서석동,2016010315,0.004,0.8,0.028,0.027,53,42,광주 동구 서남로 1
광주 동구,324115,서석동,2016010316,0.003,0.7,0.034,0.02,39,24,광주 동구 서남로 1
광주 동구,324115,서석동,2016010317,0.003,0.7,0.031,0.023,41,26,광주 동구 서남로 1
광주 동구,324115,서석동,2016010318,0.003,0.8,0.016,0.04,42,29,광주 동구 서남로 1
광주 동구,324115,서석동,2016010319,0.003,0.8,0.012,0.039,48,30,광주 동구 서남로 1
광주 동구,324115,서석동,2016010320,0.003,0.8,0.009,0.043,46,26,광주 동구 서남로 1
광주 동구,324115,서석동,2016010321,0.003,0.9,0.004,0.049,47,27,광주 동구 서남로 1
광주 동구,324115,서석동,2016010322,0.003,1,0.002,0.054,54,33,광주 동구 서남로 1
광주 동구,324115,서석동,2016010323,0.003,1,0.008,0.045,61,39,광주 동구 서남로 1
광주 동구,324115,서석동,2016010324,0.003,1,0.018,0.036,68,49,광주 동구 서남로 1
광주 동구,324115,서석동,2016010401,0.003,1,0.025,0.026,74,55,광주 동구 서남로 1
광주 동구,324115,서석동,2016010402,0.003,1.3,0.014,0.037,75,62,광주 동구 서남로 1
광주 동구,324115,서석동,2016010403,0.005,1.7,0.003,0.055,77,63,광주 동구 서남로 1
광주 동구,324115,서석동,2016010404,0.004,1.5,0.015,0.038,76,59,광주 동구 서남로 1
광주 동구,324115,서석동,2016010405,0.005,1.8,0.004,0.05,95,80,광주 동구 서남로 1
광주 동구,324115,서석동,2016010406,0.005,1.8,0.001,0.056,79,66,광주 동구 서남로 1
광주 동구,324115,서석동,2016010407,0.005,1.8,0.001,0.054,70,51,광주 동구 서남로 1
광주 동구,324115,서석동,2016010408,0.005,1.8,0.001,0.055,74,52,광주 동구 서남로 1
광주 동구,324115,서석동,2016010409,0.005,1.7,0.003,0.062,83,55,광주 동구 서남로 1
광주 동구,324115,서석동,2016010410,0.005,1.2,0.017,0.045,106,76,광주 동구 서남로 1
